FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  245.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:52;;245;;26077;557;1.5;2027;426;1.1;7575;386;2.4;3963;398;0.3;301968;724;4.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  250.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:53;;250;;24411;556;1;2315;426;0.5;7439;385;4.1;4619;399;0.4;296491;721;3.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  255.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:54;;255;;24050;555;0.9;1594;426;1.3;7928;386;4.1;4526;400;0.6;296863;721;3.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  260.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:55;;260;;20993;551;1.3;1481;424;1.3;7606;384;4.4;5194;397;0.7;283979;710;4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  265.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:56;;265;;19118;542;0.9;1645;420;1.4;7324;382;2.2;4802;396;0.6;259702;693;4.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  270.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:57;;270;;17340;545;1.5;1487;422;1.1;6540;382;2.3;4962;397;0.6;246249;684;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  275.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:58;;275;;21744;553;1.3;1692;425;1.2;6572;384;2.6;4455;398;0.6;262035;696;4.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  280.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:59;;280;;21045;553;1.1;2036;426;1.5;7724;386;3.7;4293;398;0.5;267320;700;4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  285.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:59;;285;;20377;550;1.4;1505;425;1;6961;385;2.2;4719;399;0.6;266347;701;3.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  290.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 13:00;;290;;21705;553;0.8;1689;425;1.2;8001;385;4.6;4758;398;0.3;274595;706;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  295.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:01;;295;;18930;549;1;1989;424;0.5;6884;383;3;4457;396;0.4;247879;684;3.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  300.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:02;;300;;22642;556;1.5;2595;427;1.6;7263;385;4;4785;399;0.3;286831;715;2.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  305.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:03;;305;;18947;550;0.5;1869;426;1.1;6048;384;2.4;4110;397;0.6;268422;700;2.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  310.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 13:04;;310;;18422;547;1.6;2043;424;1.4;6551;382;3.5;4828;396;0.5;249495;685;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  315.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 13:05;;315;;19560;546;1.1;1365;422;1.3;7758;384;2.7;4495;395;0.4;260939;692;3.9
