FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  220.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:44;;220;;2219;3;1.3;6043;4;0.4;6973;5;0.7;701;6;0.7;4019;15;1;30685;20;0.8;90024;23;1.1;8511;22;1.2;19904;24;0.5;54;24;0.9;-1140;24;0.7;1857;8;0.8;6480;10;1;1110;10;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  225.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:45;;225;;2393;3;0.8;6501;4;0.5;7609;5;0.6;1065;6;1;3370;15;0.9;31948;20;0.7;88716;23;0.7;9941;22;1;21505;24;0.5;-727;24;0.7;-570;25;0.9;1749;8;0.8;6232;10;0.8;854;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  230.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:47;;230;;2631;3;0.7;6848;4;0.8;7867;5;0.4;740;6;0.8;4172;15;0.9;32817;20;0.8;88229;23;0.7;8836;22;0.5;20400;24;0.6;153;24;0.8;-241;24;0.6;1738;8;0.8;6411;10;0.9;1630;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  235.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:48;;235;;2532;102;0.6;6672;137;0.4;7666;168;0.9;759;187;0.9;4080;503;0.8;31716;653;0.7;87054;822;0.4;9064;719;0.8;23289;773;0.8;387;887;1;-438;831;0.9;1438;262;0.6;6511;314;0.7;845;336;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  240.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;04.01.17 20:50;;240;;2351;100;0.4;6722;137;0.8;7224;167;0.9;718;188;0.5;4683;510;0.8;30682;657;0.7;89333;824;0.4;9178;728;0.9;22238;781;0.4;-1167;893;0.9;129;839;0.8;1347;263;0.5;7287;318;0.9;1351;339;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  245.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:51;;245;;2443;3;0.6;6413;4;0.4;7081;5;0.9;726;6;0.7;4031;15;0.8;30243;20;0.9;89144;23;0.5;8501;22;0.8;20944;24;0.4;-1219;24;1;116;24;0.8;1617;8;0.5;6972;10;0.9;1121;10;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  250.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:52;;250;;2383;3;1.5;6825;4;0.5;7160;5;1.7;885;6;0.7;4238;15;0.8;30239;20;0.5;88073;23;1;9132;22;0.8;21296;23;0.9;333;23;0.4;807;24;0.9;1352;8;0.4;6455;10;1.1;1485;10;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  255.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:54;;255;;2500;101;0.3;7575;141;0.6;7507;167;1;771;186;0.5;4586;506;1;31848;656;0.7;88305;826;0.4;9813;724;0.8;22220;779;0.9;-78;906;0.6;-230;836;0.9;1163;262;0.4;6422;315;0.6;1197;338;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  260.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:55;;260;;2488;101;1.1;9105;148;0.5;7850;169;0.7;898;187;0.8;4739;507;0.9;31762;656;0.5;89916;829;0.6;9750;724;0.9;22758;779;0.6;-599;907;0.9;604;833;0.8;1606;262;0.7;6620;315;0.8;1436;338;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  265.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:57;;265;;2559;3;0.6;7624;4;0.7;7817;5;0.6;820;6;0.8;3350;15;0.9;31517;20;0.7;87691;23;0.6;8735;22;1.2;24181;24;0.6;-921;24;1;-673;24;0.7;1723;8;0.6;7171;10;0.8;1181;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  270.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:58;;270;;2574;3;0.6;6829;4;0.7;7963;5;1;806;6;0.6;4082;15;0.7;33085;20;0.9;86416;23;0.6;9375;22;0.7;27030;24;0.7;1049;24;0.7;-1332;24;0.9;1846;8;1;6932;10;0.9;1340;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  275.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:59;;275;;2515;3;0.7;7309;4;0.6;8098;5;0.7;978;6;1;4829;15;1.2;34326;20;0.5;84867;23;0.5;10300;23;0.6;26301;24;1.1;1369;24;0.6;-1404;25;1;1246;8;0.7;7499;10;0.7;1264;11;0.6
