FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  205.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:09;;205;;6629;198;1.9;136275;443;1.4;-2804;258;4.8;15506;302;24;8866;807;6.8;6670;446;15.9;4209201;2030;42.7;233463;1141;7.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  210.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:10;;210;;6235;197;2.8;124342;428;1.9;-2790;258;5.5;15638;303;23.1;10759;835;8;4752;441;12.5;4115693;2009;45.4;243468;1172;9.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  215.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:11;;215;;6821;196;2.2;133956;438;2;-2665;255;4.8;19078;307;25.3;9669;810;6.8;5503;442;13.7;4068292;1998;44.3;234223;1144;7.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  220.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:12;;220;;6838;195;3.2;143588;449;1.9;-3038;249;3.8;16232;299;24.2;8782;796;7.1;6947;441;17.1;3879990;1953;43.4;229780;1130;7.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  225.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:13;;225;;6227;195;2.9;121095;423;2.1;-2299;257;5.1;14050;299;20.7;10701;826;6.3;5540;443;13.8;4110808;2008;48;240180;1159;7.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  230.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 13:14;;230;;5998;190;1.9;115362;412;2.9;-2609;246;5.2;13689;291;21.3;10434;808;7.3;4761;432;14.1;3691063;1909;47.8;229559;1134;8.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  235.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:15;;235;;6282;192;2.9;125566;426;2.6;-2934;247;4.6;14298;296;24.4;12184;823;6.8;6854;438;13.2;3706665;1913;43.2;242016;1157;10.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  240.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:16;;240;;6297;195;2.5;122009;424;1.8;-2610;253;5.3;15510;301;25.2;12201;831;6.2;6883;440;13.9;3923749;1963;46.9;240870;1164;9.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  245.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:17;;245;;6331;194;1.5;119945;420;3.4;-3136;251;4.2;15372;298;23.8;9835;805;5.5;8544;442;16.4;3882751;1954;44.8;229111;1131;7.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  250.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:19;;250;;6170;193;3.6;118983;417;1.2;-2419;248;6;15804;298;15.9;13863;824;5;7588;439;17.4;3768383;1927;44.7;236801;1149;9.9
