FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  205.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:50;;205;;2054;3;3.1;11457;5;0.7;48002;8;0.7;-431;6;1.3;3698;15;0.8;16441;19;0.6;138329;24;0.7;7769;22;0.7;33130;24;0.5;1663;23;0.5;665;24;1.1;1076;8;0.5;22047;10;1.5;758;10;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  210.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;74;10.04.17 19:52;;210;;1837;3;4.7;9890;5;0.8;47482;8;1.1;-350;6;0.9;3837;15;0.9;16039;19;0.6;141738;24;0.7;8225;22;0.8;30019;24;0.8;1936;24;0.6;916;24;0.7;1701;8;0.9;22410;10;0.9;1408;10;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  215.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:53;;215;;1982;3;4;8746;4;0.8;45352;8;0.4;-720;6;0.8;3367;15;0.5;15916;19;0.5;137553;24;0.6;8456;22;1.4;24348;24;0.5;1668;23;0.7;2062;24;1;1267;8;1.2;21694;10;1.6;919;10;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  220.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;74;10.04.17 19:54;;220;;2160;3;6.2;8233;4;0.7;45700;8;1;-748;6;1;2891;15;0.7;16103;19;0.5;133722;24;1.1;8453;22;1.1;25213;24;0.7;1572;24;0.4;735;24;1;1632;8;0.5;25829;10;1.8;1454;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  225.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:56;;225;;2331;3;4.2;8293;4;0.6;43556;8;0.6;-215;6;0.9;3431;15;0.7;17711;19;0.3;133850;24;0.4;8030;22;1.4;27177;24;0.8;2754;23;0.5;968;24;0.6;1137;8;0.8;21788;10;1.5;1201;10;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  230.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:57;;230;;1900;3;4.3;7533;4;0.6;43284;8;0.8;-391;6;0.9;2697;15;0.8;18348;19;0.4;129930;24;0.8;9222;22;0.9;29176;24;0.8;2447;23;0.9;1812;24;0.8;1690;8;0.6;22035;10;1.5;1028;10;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  235.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;74;10.04.17 19:59;;235;;2119;3;5.5;8060;4;0.6;42925;8;0.6;-374;6;1.3;3116;15;0.6;17439;19;0.6;124675;24;0.8;7234;22;1.1;26398;24;0.9;1827;23;0.8;900;24;0.7;2004;8;0.6;22242;10;1.2;1473;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  240.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 20:00;;240;;1956;3;3.1;7498;4;1;42258;8;1.1;-847;6;1;2771;15;0.9;18058;19;0.7;127250;24;0.7;8212;22;0.6;27722;24;0.9;2547;23;0.6;979;24;0.6;1252;8;0.7;21067;10;1.4;1182;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  245.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;74;10.04.17 20:01;;245;;1911;3;3.8;7778;4;1.1;41478;8;1.2;-517;6;1.3;2751;15;0.7;19150;19;0.8;127393;24;0.5;8562;22;0.8;28062;24;0.8;3396;24;0.7;1583;24;1;1217;8;0.8;22620;10;2;714;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  250.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;74;10.04.17 20:03;;250;;1940;3;4.7;8271;4;0.5;44555;8;0.6;-195;6;1.1;2992;15;0.7;17897;19;0.4;126055;24;0.6;7138;22;0.9;27424;24;0.4;2387;23;0.5;1685;24;0.9;1532;8;0.3;21217;10;1.2;829;10;0.6
